id,date,description,category,amount,balance
1,2024-01-15,Coffee Shop Purchase,Food & Dining,-4.50,1245.50
2,2024-01-15,Salary Deposit,Income,2500.00,3745.50
3,2024-01-16,Gas Station,Transportation,-45.20,3700.30
4,2024-01-16,Grocery Store,Food & Dining,-87.65,3612.65
5,2024-01-17,Online Shopping,Shopping,-129.99,3482.66
6,2024-01-17,ATM Withdrawal,Cash,-100.00,3382.66
7,2024-01-18,Restaurant,Food & Dining,-32.75,3349.91
8,2024-01-18,Movie Theater,Entertainment,-24.00,3325.91
9,2024-01-19,Pharmacy,Healthcare,-15.80,3310.11
10,2024-01-19,Electric Bill,Utilities,-89.45,3220.66
11,2024-01-20,Freelance Payment,Income,750.00,3970.66
12,2024-01-20,Gas Station,Transportation,-38.90,3931.76
13,2024-01-21,Coffee Shop Purchase,Food & Dining,-5.25,3926.51
14,2024-01-21,Bookstore,Shopping,-42.30,3884.21
15,2024-01-22,Gym Membership,Health & Fitness,-49.99,3834.22